date,map,result,kills,deaths,assists,hs,hs_percent,kd,kr,mvps,adr,first_kills,first_deaths,entry_count,entry_wins,rounds_played,overtime,match_duration_min,my_team_score,enemy_team_score,round_difference
2025-06-26 21:37:52,de_mirage,Win,11,17,3,7,64.0,0.65,0.5,3,50.5,2,3,5,2,22,False,38.4,13,9,4
2025-06-24 17:45:36,de_anubis,Loss,14,18,5,6,43.0,0.78,0.58,1,73.6,2,1,3,2,24,False,38.3,13,11,2
2025-06-24 17:12:10,de_mirage,Win,13,8,3,5,38.0,1.62,0.72,1,64.0,0,1,1,0,18,False,26.6,13,5,8
2025-06-24 16:37:53,de_mirage,Win,13,10,5,5,38.0,1.3,0.81,0,80.6,1,1,2,1,16,False,27.0,3,13,-10
2025-06-24 02:21:28,de_mirage,Loss,14,15,7,10,71.0,0.93,0.7,2,88.0,1,1,2,1,20,False,31.6,7,13,-6
2025-06-24 01:41:49,de_dust2,Win,16,12,4,9,56.0,1.33,0.76,1,82.6,1,1,2,1,21,False,36.0,8,13,-5
2025-06-24 00:55:14,de_dust2,Loss,13,19,2,6,46.0,0.68,0.54,0,53.8,1,0,1,1,24,False,37.0,11,13,-2
2025-06-23 00:17:52,de_mirage,Loss,7,15,8,5,71.0,0.47,0.37,0,64.3,0,2,2,0,19,False,35.8,13,6,7
2025-06-22 21:22:20,de_anubis,Loss,23,16,5,14,61.0,1.44,1.0,3,102.3,3,2,5,3,23,False,38.7,10,13,-3
2025-06-22 20:36:34,de_anubis,Win,21,13,10,12,57.0,1.62,1.0,4,113.6,2,1,3,2,21,False,35.5,13,8,5
2025-06-22 18:20:31,de_mirage,Loss,14,22,11,7,50.0,0.64,0.5,1,76.6,3,2,5,3,28,True,48.1,12,16,-4
2025-06-22 17:34:45,de_anubis,Win,19,12,3,10,53.0,1.58,0.9,2,82.9,3,1,4,3,21,False,40.8,8,13,-5
2025-06-22 16:16:01,de_nuke,Loss,19,25,8,10,53.0,0.76,0.54,2,65.8,1,4,5,1,35,True,63.6,19,16,3
2025-06-22 15:33:19,de_ancient,Loss,14,17,4,7,50.0,0.82,0.67,2,75.3,3,4,7,3,21,False,34.3,8,13,-5
